"record_id","state_code","jurisdiction_name","jurisdiction_type","official_jurisdiction_id","tax_name","legal_incidence","geographic_scope","employer_withholding","rate","effective_at","administrator","evidence_status","coverage_status","product_disposition","source_date","primary_source_urls","limitations"
"al-league-occupational-tax-sulligent","AL","Sulligent","incorporated city or town",,"Occupational Tax","percentage occupational tax reported by the Alabama League of Municipalities; employee-wage incidence requires current local verification","municipal occupational-tax candidate; current worksite/nonresident rule requires local verification",,"1%","Current Alabama League survey page retrieved 2026-08-25; rate currency is not guaranteed","Sulligent local occupational-tax administrator","SUPPORTED_AUTHORITATIVE_ASSOCIATION","PARTIAL","UNDETERMINED until the current local ordinance, employee-wage incidence, withholding rule, rate, and authoritative jurisdiction boundary are verified","League survey page retrieved 2026-08-25","https://almonline.org/VirtualPageTemplate.aspx?PageID=3f384f8c-dd06-4beb-8cd2-1353aaad9414 | https://alison.legislature.state.al.us/files/pdf/SearchableInstruments/2020RS/PrintFiles/204606-1.pdf","The Alabama League says the rates were supplied by survey, disclaims their accuracy, and requires verification with the locality. | The League list does not itself prove current employee incidence, commuter/worksite allocation, or employer withholding. | A current local ordinance, withholding material, and boundary match are required before a product BUFFER decision."
"ky-klc-payroll-barbourville","KY","Barbourville","incorporated city","{""klc_county"":""Knox"",""klc_fy2023_source_page"":1}","Occupational License Tax / Payroll Tax","employee gross earnings or payroll","persons working within the city under Kentucky occupational-license-tax rules; current local boundary and ordinance must be verified before use","True","1.00%","FY2023 KLC city survey; KLC still reported 170 gross-earnings cities on 2025-07-11","Barbourville local occupational-tax administrator","SUPPORTED_AUTHORITATIVE_ASSOCIATION","PARTIAL","UNDETERMINED until the current local ordinance, rate, and authoritative jurisdiction boundary are verified","FY2023 surveyed rate; KLC adopter count published 2025-07-11; retrieved 2026-08-25","https://www.klc.org/News/12942/the-occupational-business-license-fee | https://kleague.sharepoint.com/sites/governmentalaffairs/Shared%20Documents/Research/Taxes/Occupational%20Taxes/KY%20City_OccupationalLicenseRates_FY2023.pdf?ga=1 | https://www.klc.org/InfoCentral/Detail/31/occupational-license-tax | https://apps.legislature.ky.gov/law/statutes/statute.aspx?id=23793 | https://apps.legislature.ky.gov/law/statutes/statute.aspx?id=23796","KLC is an authoritative municipal association, but its rate table is a city survey rather than the municipality ordinance. | The table warns that rates may change and uses FY2023 or the most readily available values. | A current local ordinance, withholding material, and boundary match are required before a product BUFFER decision."
"ky-klc-payroll-bardwell","KY","Bardwell","incorporated city","{""klc_county"":""Carlisle"",""klc_fy2023_source_page"":1}","Occupational License Tax / Payroll Tax","employee gross earnings or payroll","persons working within the city under Kentucky occupational-license-tax rules; current local boundary and ordinance must be verified before use","True","0.50%","FY2023 KLC city survey; KLC still reported 170 gross-earnings cities on 2025-07-11","Bardwell local occupational-tax administrator","SUPPORTED_AUTHORITATIVE_ASSOCIATION","PARTIAL","UNDETERMINED until the current local ordinance, rate, and authoritative jurisdiction boundary are verified","FY2023 surveyed rate; KLC adopter count published 2025-07-11; retrieved 2026-08-25","https://www.klc.org/News/12942/the-occupational-business-license-fee | https://kleague.sharepoint.com/sites/governmentalaffairs/Shared%20Documents/Research/Taxes/Occupational%20Taxes/KY%20City_OccupationalLicenseRates_FY2023.pdf?ga=1 | https://www.klc.org/InfoCentral/Detail/31/occupational-license-tax | https://apps.legislature.ky.gov/law/statutes/statute.aspx?id=23793 | https://apps.legislature.ky.gov/law/statutes/statute.aspx?id=23796","KLC is an authoritative municipal association, but its rate table is a city survey rather than the municipality ordinance. | The table warns that rates may change and uses FY2023 or the most readily available values. | A current local ordinance, withholding material, and boundary match are required before a product BUFFER decision."
"ky-klc-payroll-benton","KY","Benton","incorporated city","{""klc_county"":""Marshall"",""klc_fy2023_source_page"":2}","Occupational License Tax / Payroll Tax","employee gross earnings or payroll","persons working within the city under Kentucky occupational-license-tax rules; current local boundary and ordinance must be verified before use","True","0.50%","FY2023 KLC city survey; KLC still reported 170 gross-earnings cities on 2025-07-11","Benton local occupational-tax administrator","SUPPORTED_AUTHORITATIVE_ASSOCIATION","PARTIAL","UNDETERMINED until the current local ordinance, rate, and authoritative jurisdiction boundary are verified","FY2023 surveyed rate; KLC adopter count published 2025-07-11; retrieved 2026-08-25","https://www.klc.org/News/12942/the-occupational-business-license-fee | https://kleague.sharepoint.com/sites/governmentalaffairs/Shared%20Documents/Research/Taxes/Occupational%20Taxes/KY%20City_OccupationalLicenseRates_FY2023.pdf?ga=1 | https://www.klc.org/InfoCentral/Detail/31/occupational-license-tax | https://apps.legislature.ky.gov/law/statutes/statute.aspx?id=23793 | https://apps.legislature.ky.gov/law/statutes/statute.aspx?id=23796","KLC is an authoritative municipal association, but its rate table is a city survey rather than the municipality ordinance. | The table warns that rates may change and uses FY2023 or the most readily available values. | A current local ordinance, withholding material, and boundary match are required before a product BUFFER decision."
"ky-klc-payroll-brodhead","KY","Brodhead","incorporated city","{""klc_county"":""Rockcastle"",""klc_fy2023_source_page"":2}","Occupational License Tax / Payroll Tax","employee gross earnings or payroll","persons working within the city under Kentucky occupational-license-tax rules; current local boundary and ordinance must be verified before use","True","1.00%","FY2023 KLC city survey; KLC still reported 170 gross-earnings cities on 2025-07-11","Brodhead local occupational-tax administrator","SUPPORTED_AUTHORITATIVE_ASSOCIATION","PARTIAL","UNDETERMINED until the current local ordinance, rate, and authoritative jurisdiction boundary are verified","FY2023 surveyed rate; KLC adopter count published 2025-07-11; retrieved 2026-08-25","https://www.klc.org/News/12942/the-occupational-business-license-fee | https://kleague.sharepoint.com/sites/governmentalaffairs/Shared%20Documents/Research/Taxes/Occupational%20Taxes/KY%20City_OccupationalLicenseRates_FY2023.pdf?ga=1 | https://www.klc.org/InfoCentral/Detail/31/occupational-license-tax | https://apps.legislature.ky.gov/law/statutes/statute.aspx?id=23793 | https://apps.legislature.ky.gov/law/statutes/statute.aspx?id=23796","KLC is an authoritative municipal association, but its rate table is a city survey rather than the municipality ordinance. | The table warns that rates may change and uses FY2023 or the most readily available values. | A current local ordinance, withholding material, and boundary match are required before a product BUFFER decision."
"ky-klc-payroll-brooksville","KY","Brooksville","incorporated city","{""klc_county"":""Bracken"",""klc_fy2023_source_page"":2}","Occupational License Tax / Payroll Tax","employee gross earnings or payroll","persons working within the city under Kentucky occupational-license-tax rules; current local boundary and ordinance must be verified before use","True","1.75%","FY2023 KLC city survey; KLC still reported 170 gross-earnings cities on 2025-07-11","Brooksville local occupational-tax administrator","SUPPORTED_AUTHORITATIVE_ASSOCIATION","PARTIAL","UNDETERMINED until the current local ordinance, rate, and authoritative jurisdiction boundary are verified","FY2023 surveyed rate; KLC adopter count published 2025-07-11; retrieved 2026-08-25","https://www.klc.org/News/12942/the-occupational-business-license-fee | https://kleague.sharepoint.com/sites/governmentalaffairs/Shared%20Documents/Research/Taxes/Occupational%20Taxes/KY%20City_OccupationalLicenseRates_FY2023.pdf?ga=1 | https://www.klc.org/InfoCentral/Detail/31/occupational-license-tax | https://apps.legislature.ky.gov/law/statutes/statute.aspx?id=23793 | https://apps.legislature.ky.gov/law/statutes/statute.aspx?id=23796","KLC is an authoritative municipal association, but its rate table is a city survey rather than the municipality ordinance. | The table warns that rates may change and uses FY2023 or the most readily available values. | A current local ordinance, withholding material, and boundary match are required before a product BUFFER decision."
"ky-klc-payroll-burkesville","KY","Burkesville","incorporated city","{""klc_county"":""Cumberland"",""klc_fy2023_source_page"":2}","Occupational License Tax / Payroll Tax","employee gross earnings or payroll","persons working within the city under Kentucky occupational-license-tax rules; current local boundary and ordinance must be verified before use","True","2.00%","FY2023 KLC city survey; KLC still reported 170 gross-earnings cities on 2025-07-11","Burkesville local occupational-tax administrator","SUPPORTED_AUTHORITATIVE_ASSOCIATION","PARTIAL","UNDETERMINED until the current local ordinance, rate, and authoritative jurisdiction boundary are verified","FY2023 surveyed rate; KLC adopter count published 2025-07-11; retrieved 2026-08-25","https://www.klc.org/News/12942/the-occupational-business-license-fee | https://kleague.sharepoint.com/sites/governmentalaffairs/Shared%20Documents/Research/Taxes/Occupational%20Taxes/KY%20City_OccupationalLicenseRates_FY2023.pdf?ga=1 | https://www.klc.org/InfoCentral/Detail/31/occupational-license-tax | https://apps.legislature.ky.gov/law/statutes/statute.aspx?id=23793 | https://apps.legislature.ky.gov/law/statutes/statute.aspx?id=23796","KLC is an authoritative municipal association, but its rate table is a city survey rather than the municipality ordinance. | The table warns that rates may change and uses FY2023 or the most readily available values. | A current local ordinance, withholding material, and boundary match are required before a product BUFFER decision."
"ky-klc-payroll-cadiz","KY","Cadiz","incorporated city","{""klc_county"":""Trigg"",""klc_fy2023_source_page"":2}","Occupational License Tax / Payroll Tax","employee gross earnings or payroll","persons working within the city under Kentucky occupational-license-tax rules; current local boundary and ordinance must be verified before use","True","1.90%","FY2023 KLC city survey; KLC still reported 170 gross-earnings cities on 2025-07-11","Cadiz local occupational-tax administrator","SUPPORTED_AUTHORITATIVE_ASSOCIATION","PARTIAL","UNDETERMINED until the current local ordinance, rate, and authoritative jurisdiction boundary are verified","FY2023 surveyed rate; KLC adopter count published 2025-07-11; retrieved 2026-08-25","https://www.klc.org/News/12942/the-occupational-business-license-fee | https://kleague.sharepoint.com/sites/governmentalaffairs/Shared%20Documents/Research/Taxes/Occupational%20Taxes/KY%20City_OccupationalLicenseRates_FY2023.pdf?ga=1 | https://www.klc.org/InfoCentral/Detail/31/occupational-license-tax | https://apps.legislature.ky.gov/law/statutes/statute.aspx?id=23793 | https://apps.legislature.ky.gov/law/statutes/statute.aspx?id=23796","KLC is an authoritative municipal association, but its rate table is a city survey rather than the municipality ordinance. | The table warns that rates may change and uses FY2023 or the most readily available values. | A current local ordinance, withholding material, and boundary match are required before a product BUFFER decision."
"ky-klc-payroll-carlisle","KY","Carlisle","incorporated city","{""klc_county"":""Nicholas"",""klc_fy2023_source_page"":3}","Occupational License Tax / Payroll Tax","employee gross earnings or payroll","persons working within the city under Kentucky occupational-license-tax rules; current local boundary and ordinance must be verified before use","True","1.00%","FY2023 KLC city survey; KLC still reported 170 gross-earnings cities on 2025-07-11","Carlisle local occupational-tax administrator","SUPPORTED_AUTHORITATIVE_ASSOCIATION","PARTIAL","UNDETERMINED until the current local ordinance, rate, and authoritative jurisdiction boundary are verified","FY2023 surveyed rate; KLC adopter count published 2025-07-11; retrieved 2026-08-25","https://www.klc.org/News/12942/the-occupational-business-license-fee | https://kleague.sharepoint.com/sites/governmentalaffairs/Shared%20Documents/Research/Taxes/Occupational%20Taxes/KY%20City_OccupationalLicenseRates_FY2023.pdf?ga=1 | https://www.klc.org/InfoCentral/Detail/31/occupational-license-tax | https://apps.legislature.ky.gov/law/statutes/statute.aspx?id=23793 | https://apps.legislature.ky.gov/law/statutes/statute.aspx?id=23796","KLC is an authoritative municipal association, but its rate table is a city survey rather than the municipality ordinance. | The table warns that rates may change and uses FY2023 or the most readily available values. | A current local ordinance, withholding material, and boundary match are required before a product BUFFER decision."
"ky-klc-payroll-cave-city","KY","Cave City","incorporated city","{""klc_county"":""Barren"",""klc_fy2023_source_page"":3}","Occupational License Tax / Payroll Tax","employee gross earnings or payroll","persons working within the city under Kentucky occupational-license-tax rules; current local boundary and ordinance must be verified before use","True","2.00%","FY2023 KLC city survey; KLC still reported 170 gross-earnings cities on 2025-07-11","Cave City local occupational-tax administrator","SUPPORTED_AUTHORITATIVE_ASSOCIATION","PARTIAL","UNDETERMINED until the current local ordinance, rate, and authoritative jurisdiction boundary are verified","FY2023 surveyed rate; KLC adopter count published 2025-07-11; retrieved 2026-08-25","https://www.klc.org/News/12942/the-occupational-business-license-fee | https://kleague.sharepoint.com/sites/governmentalaffairs/Shared%20Documents/Research/Taxes/Occupational%20Taxes/KY%20City_OccupationalLicenseRates_FY2023.pdf?ga=1 | https://www.klc.org/InfoCentral/Detail/31/occupational-license-tax | https://apps.legislature.ky.gov/law/statutes/statute.aspx?id=23793 | https://apps.legislature.ky.gov/law/statutes/statute.aspx?id=23796","KLC is an authoritative municipal association, but its rate table is a city survey rather than the municipality ordinance. | The table warns that rates may change and uses FY2023 or the most readily available values. | A current local ordinance, withholding material, and boundary match are required before a product BUFFER decision."
"ky-klc-payroll-clay-city","KY","Clay City","incorporated city","{""klc_county"":""Powell"",""klc_fy2023_source_page"":3}","Occupational License Tax / Payroll Tax","employee gross earnings or payroll","persons working within the city under Kentucky occupational-license-tax rules; current local boundary and ordinance must be verified before use","True","1.00%","FY2023 KLC city survey; KLC still reported 170 gross-earnings cities on 2025-07-11","Clay City local occupational-tax administrator","SUPPORTED_AUTHORITATIVE_ASSOCIATION","PARTIAL","UNDETERMINED until the current local ordinance, rate, and authoritative jurisdiction boundary are verified","FY2023 surveyed rate; KLC adopter count published 2025-07-11; retrieved 2026-08-25","https://www.klc.org/News/12942/the-occupational-business-license-fee | https://kleague.sharepoint.com/sites/governmentalaffairs/Shared%20Documents/Research/Taxes/Occupational%20Taxes/KY%20City_OccupationalLicenseRates_FY2023.pdf?ga=1 | https://www.klc.org/InfoCentral/Detail/31/occupational-license-tax | https://apps.legislature.ky.gov/law/statutes/statute.aspx?id=23793 | https://apps.legislature.ky.gov/law/statutes/statute.aspx?id=23796","KLC is an authoritative municipal association, but its rate table is a city survey rather than the municipality ordinance. | The table warns that rates may change and uses FY2023 or the most readily available values. | A current local ordinance, withholding material, and boundary match are required before a product BUFFER decision."
"ky-klc-payroll-columbia","KY","Columbia","incorporated city","{""klc_county"":""Adair"",""klc_fy2023_source_page"":3}","Occupational License Tax / Payroll Tax","employee gross earnings or payroll","persons working within the city under Kentucky occupational-license-tax rules; current local boundary and ordinance must be verified before use","True","1.00%","FY2023 KLC city survey; KLC still reported 170 gross-earnings cities on 2025-07-11","Columbia local occupational-tax administrator","SUPPORTED_AUTHORITATIVE_ASSOCIATION","PARTIAL","UNDETERMINED until the current local ordinance, rate, and authoritative jurisdiction boundary are verified","FY2023 surveyed rate; KLC adopter count published 2025-07-11; retrieved 2026-08-25","https://www.klc.org/News/12942/the-occupational-business-license-fee | https://kleague.sharepoint.com/sites/governmentalaffairs/Shared%20Documents/Research/Taxes/Occupational%20Taxes/KY%20City_OccupationalLicenseRates_FY2023.pdf?ga=1 | https://www.klc.org/InfoCentral/Detail/31/occupational-license-tax | https://apps.legislature.ky.gov/law/statutes/statute.aspx?id=23793 | https://apps.legislature.ky.gov/law/statutes/statute.aspx?id=23796","KLC is an authoritative municipal association, but its rate table is a city survey rather than the municipality ordinance. | The table warns that rates may change and uses FY2023 or the most readily available values. | A current local ordinance, withholding material, and boundary match are required before a product BUFFER decision."
"ky-klc-payroll-crab-orchard","KY","Crab Orchard","incorporated city","{""klc_county"":""Lincoln"",""klc_fy2023_source_page"":3}","Occupational License Tax / Payroll Tax","employee gross earnings or payroll","persons working within the city under Kentucky occupational-license-tax rules; current local boundary and ordinance must be verified before use","True","1.00%","FY2023 KLC city survey; KLC still reported 170 gross-earnings cities on 2025-07-11","Crab Orchard local occupational-tax administrator","SUPPORTED_AUTHORITATIVE_ASSOCIATION","PARTIAL","UNDETERMINED until the current local ordinance, rate, and authoritative jurisdiction boundary are verified","FY2023 surveyed rate; KLC adopter count published 2025-07-11; retrieved 2026-08-25","https://www.klc.org/News/12942/the-occupational-business-license-fee | https://kleague.sharepoint.com/sites/governmentalaffairs/Shared%20Documents/Research/Taxes/Occupational%20Taxes/KY%20City_OccupationalLicenseRates_FY2023.pdf?ga=1 | https://www.klc.org/InfoCentral/Detail/31/occupational-license-tax | https://apps.legislature.ky.gov/law/statutes/statute.aspx?id=23793 | https://apps.legislature.ky.gov/law/statutes/statute.aspx?id=23796","KLC is an authoritative municipal association, but its rate table is a city survey rather than the municipality ordinance. | The table warns that rates may change and uses FY2023 or the most readily available values. | A current local ordinance, withholding material, and boundary match are required before a product BUFFER decision."
"ky-klc-payroll-dawson-springs","KY","Dawson Springs","incorporated city","{""klc_county"":""Hopkins/Caldwell"",""klc_fy2023_source_page"":4}","Occupational License Tax / Payroll Tax","employee gross earnings or payroll","persons working within the city under Kentucky occupational-license-tax rules; current local boundary and ordinance must be verified before use","True","1.50%","FY2023 KLC city survey; KLC still reported 170 gross-earnings cities on 2025-07-11","Dawson Springs local occupational-tax administrator","SUPPORTED_AUTHORITATIVE_ASSOCIATION","PARTIAL","UNDETERMINED until the current local ordinance, rate, and authoritative jurisdiction boundary are verified","FY2023 surveyed rate; KLC adopter count published 2025-07-11; retrieved 2026-08-25","https://www.klc.org/News/12942/the-occupational-business-license-fee | https://kleague.sharepoint.com/sites/governmentalaffairs/Shared%20Documents/Research/Taxes/Occupational%20Taxes/KY%20City_OccupationalLicenseRates_FY2023.pdf?ga=1 | https://www.klc.org/InfoCentral/Detail/31/occupational-license-tax | https://apps.legislature.ky.gov/law/statutes/statute.aspx?id=23793 | https://apps.legislature.ky.gov/law/statutes/statute.aspx?id=23796","KLC is an authoritative municipal association, but its rate table is a city survey rather than the municipality ordinance. | The table warns that rates may change and uses FY2023 or the most readily available values. | A current local ordinance, withholding material, and boundary match are required before a product BUFFER decision."
