"record_id","state_code","jurisdiction_name","jurisdiction_type","official_jurisdiction_id","tax_name","legal_incidence","geographic_scope","employer_withholding","rate","effective_at","administrator","evidence_status","coverage_status","product_disposition","source_date","primary_source_urls","limitations"
"al-guin-occupational-tax","AL","Guin","incorporated city or town",,"Occupational License Tax","employee compensation","work performed within Guin by residents and nonresidents; mixed inside/outside services are apportioned","True","1%","1983-08-01","City of Guin","CONFIRMED_PRIMARY","PARTIAL","BUFFER_REVIEW_REQUIRED after authoritative jurisdiction-boundary resolution; otherwise UNDETERMINED","Ordinance 2-83 and current collector return retrieved 2026-08-27","https://www.guinal.org/ | https://www.guinal.org/_files/ugd/c4f9d4_8fd7132b761c4d8b84ec5c2cf892cc8b.pdf | https://revds.com/taxpayerpdfs/Alabama/taxpayerforms/Occupational%20Withholding%20Tax/Occupational%20Tax%20Return.pdf","Authoritative address-to-boundary resolution is still required for product use."
"al-league-occupational-tax-hackleburg","AL","Hackleburg","incorporated city or town",,"Occupational Tax","percentage occupational tax reported by the Alabama League of Municipalities; employee-wage incidence requires current local verification","municipal occupational-tax candidate; current worksite/nonresident rule requires local verification",,"1%","Current Alabama League survey page retrieved 2026-08-25; rate currency is not guaranteed","Hackleburg local occupational-tax administrator","SUPPORTED_AUTHORITATIVE_ASSOCIATION","PARTIAL","UNDETERMINED until the current local ordinance, employee-wage incidence, withholding rule, rate, and authoritative jurisdiction boundary are verified","League survey page retrieved 2026-08-25","https://almonline.org/VirtualPageTemplate.aspx?PageID=3f384f8c-dd06-4beb-8cd2-1353aaad9414 | https://alison.legislature.state.al.us/files/pdf/SearchableInstruments/2020RS/PrintFiles/204606-1.pdf","The Alabama League says the rates were supplied by survey, disclaims their accuracy, and requires verification with the locality. | The League list does not itself prove current employee incidence, commuter/worksite allocation, or employer withholding. | A current local ordinance, withholding material, and boundary match are required before a product BUFFER decision."
"al-haleyville-occupational-tax","AL","Haleyville","incorporated city or town",,"Occupational Tax","employee gross salaries wages and commissions","work or services performed within Haleyville; compensation for services outside Haleyville is excluded","True","1%","2026 return under Ordinance 746","City of Haleyville","CONFIRMED_PRIMARY","PARTIAL","BUFFER_REVIEW_REQUIRED after authoritative jurisdiction-boundary resolution; otherwise UNDETERMINED","Current city page and 2026 return retrieved 2026-08-27","https://www.cityofhaleyville.com/city-government/businesslicenses/ | https://www.cityofhaleyville.com/wp-content/uploads/2026/01/Occupational-Tax-Return.docx","The current material uses physical-services incidence but does not separately label nonresidents."
"al-hamilton-occupational-tax","AL","Hamilton","incorporated city or town",,"Occupational License Tax","employee compensation","work or positions within Hamilton by residents and nonresidents; mixed inside/outside compensation is apportioned","True","1%","1997-04-01","City of Hamilton","CONFIRMED_PRIMARY","PARTIAL","BUFFER_REVIEW_REQUIRED after authoritative jurisdiction-boundary resolution; otherwise UNDETERMINED","Ordinance 533 and collector return retrieved 2026-08-27","https://www.hamiltoncityal.org/Documents/OrdinanceFiles/Licenses/533.pdf | https://revds.com/taxpayerpdfs/Alabama/taxpayerforms/Occupational%20Withholding%20Tax/Occupational%20Tax%20Return.pdf","The city ordinance URL was broken when rechecked; the official indexed ordinance text and current collector return jointly support the row. Obtain a replacement municipal copy for durable archival evidence."
"al-leeds-occupational-tax","AL","Leeds","incorporated city or town",,"Occupational Tax","employee gross compensation","work performed within Leeds by residents and nonresidents","True","1%","Current city tax page retrieved 2026-08-27","City of Leeds","CONFIRMED_PRIMARY","PARTIAL","BUFFER_REVIEW_REQUIRED after authoritative jurisdiction-boundary resolution; otherwise UNDETERMINED","Current city page FAQ and employer guide retrieved 2026-08-27","https://www.leedsalabama.gov/471/Occupational-Tax | https://www.leedsalabama.gov/m/faq?cat=23 | https://www.leedsalabama.gov/DocumentCenter/View/1035/Employers-Withholding-Guide","Authoritative address-to-boundary resolution is still required for product use."
"al-league-occupational-tax-lynn","AL","Lynn","incorporated city or town",,"Occupational Tax","percentage occupational tax reported by the Alabama League of Municipalities; employee-wage incidence requires current local verification","municipal occupational-tax candidate; current worksite/nonresident rule requires local verification",,"1%","Current Alabama League survey page retrieved 2026-08-25; rate currency is not guaranteed","Lynn local occupational-tax administrator","SUPPORTED_AUTHORITATIVE_ASSOCIATION","PARTIAL","UNDETERMINED until the current local ordinance, employee-wage incidence, withholding rule, rate, and authoritative jurisdiction boundary are verified","League survey page retrieved 2026-08-25","https://almonline.org/VirtualPageTemplate.aspx?PageID=3f384f8c-dd06-4beb-8cd2-1353aaad9414 | https://alison.legislature.state.al.us/files/pdf/SearchableInstruments/2020RS/PrintFiles/204606-1.pdf","The Alabama League says the rates were supplied by survey, disclaims their accuracy, and requires verification with the locality. | The League list does not itself prove current employee incidence, commuter/worksite allocation, or employer withholding. | A current local ordinance, withholding material, and boundary match are required before a product BUFFER decision."
"al-midfield-occupational-tax","AL","Midfield","incorporated city or town",,"Occupational License Tax","employee compensation","jobs or services within Midfield by residents and nonresidents; mixed inside/outside compensation is apportioned","True","1%","2008-12-01","City of Midfield","CONFIRMED_PRIMARY","PARTIAL","BUFFER_REVIEW_REQUIRED after authoritative jurisdiction-boundary resolution; otherwise UNDETERMINED","Ordinance 2008-6 and current payment portal retrieved 2026-08-27","https://www.cityofmidfield.com/wp-content/uploads/2015/08/ORDINANCE_NO_2008-6.pdf | https://midfieldal.govtportal.com/ | https://www.cityofmidfield.com/?page_id=53","Authoritative address-to-boundary resolution is still required for product use."
"al-league-occupational-tax-mosses","AL","Mosses","incorporated city or town",,"Occupational Tax","percentage occupational tax reported by the Alabama League of Municipalities; employee-wage incidence requires current local verification","municipal occupational-tax candidate; current worksite/nonresident rule requires local verification",,"1%","Current Alabama League survey page retrieved 2026-08-25; rate currency is not guaranteed","Mosses local occupational-tax administrator","SUPPORTED_AUTHORITATIVE_ASSOCIATION","PARTIAL","UNDETERMINED until the current local ordinance, employee-wage incidence, withholding rule, rate, and authoritative jurisdiction boundary are verified","League survey page retrieved 2026-08-25","https://almonline.org/VirtualPageTemplate.aspx?PageID=3f384f8c-dd06-4beb-8cd2-1353aaad9414 | https://alison.legislature.state.al.us/files/pdf/SearchableInstruments/2020RS/PrintFiles/204606-1.pdf","The Alabama League says the rates were supplied by survey, disclaims their accuracy, and requires verification with the locality. | The League list does not itself prove current employee incidence, commuter/worksite allocation, or employer withholding. | A current local ordinance, withholding material, and boundary match are required before a product BUFFER decision."
"al-opelika-occupation-license-fee","AL","Opelika","incorporated city",,"Occupation License Fee","employee salary or wages","Salary or wages earned within Opelika; wages earned outside the city are excluded.","True","1%","2025-04-01","City of Opelika Revenue Department","CONFIRMED_PRIMARY","PARTIAL","BUFFER_REVIEW_REQUIRED after authoritative jurisdiction-boundary resolution; otherwise UNDETERMINED","2025-02-04 rate notice; current tax page retrieved 2026-08-25","https://www.opelika-al.gov/338/Occupation-License | https://www.opelika-al.gov/m/NewsFlash/Home/Detail/1092","Older forms and pages still show 1.5%; the dated 2025 action and current tax page support the normalized 1% rate."
"al-rainbow-city-occupational-tax","AL","Rainbow City","incorporated city or town",,"Business Occupational License","employee compensation","work or services performed within Rainbow City; mixed inside/outside compensation is apportioned","True","2%","1969-10-01","City of Rainbow City","CONFIRMED_PRIMARY","PARTIAL","BUFFER_REVIEW_REQUIRED after authoritative jurisdiction-boundary resolution; otherwise UNDETERMINED","Current revenue page city-posted ordinance and form retrieved 2026-08-27","https://www.rbcalabama.com/revenue-department/ | https://rbcalabama.com/wp-content/uploads/2021/06/Ordinance-No.-65-Business-Occupational-License.pdf | https://rbcalabama.com/wp-content/uploads/2021/06/Revenue-G-1.pdf","The exact adoption date was not isolated; the ordinance states an operative date of 1969-10-01."
"al-league-occupational-tax-red-bay","AL","Red Bay","incorporated city or town",,"Occupational Tax","percentage occupational tax reported by the Alabama League of Municipalities; employee-wage incidence requires current local verification","municipal occupational-tax candidate; current worksite/nonresident rule requires local verification",,"0.5%","Current Alabama League survey page retrieved 2026-08-25; rate currency is not guaranteed","Red Bay local occupational-tax administrator","SUPPORTED_AUTHORITATIVE_ASSOCIATION","PARTIAL","UNDETERMINED until the current local ordinance, employee-wage incidence, withholding rule, rate, and authoritative jurisdiction boundary are verified","League survey page retrieved 2026-08-25","https://almonline.org/VirtualPageTemplate.aspx?PageID=3f384f8c-dd06-4beb-8cd2-1353aaad9414 | https://alison.legislature.state.al.us/files/pdf/SearchableInstruments/2020RS/PrintFiles/204606-1.pdf","The Alabama League says the rates were supplied by survey, disclaims their accuracy, and requires verification with the locality. | The League list does not itself prove current employee incidence, commuter/worksite allocation, or employer withholding. | A current local ordinance, withholding material, and boundary match are required before a product BUFFER decision."
"al-league-occupational-tax-shorter","AL","Shorter","incorporated city or town",,"Occupational Tax","percentage occupational tax reported by the Alabama League of Municipalities; employee-wage incidence requires current local verification","municipal occupational-tax candidate; current worksite/nonresident rule requires local verification",,"1%","Current Alabama League survey page retrieved 2026-08-25; rate currency is not guaranteed","Shorter local occupational-tax administrator","SUPPORTED_AUTHORITATIVE_ASSOCIATION","PARTIAL","UNDETERMINED until the current local ordinance, employee-wage incidence, withholding rule, rate, and authoritative jurisdiction boundary are verified","League survey page retrieved 2026-08-25","https://almonline.org/VirtualPageTemplate.aspx?PageID=3f384f8c-dd06-4beb-8cd2-1353aaad9414 | https://alison.legislature.state.al.us/files/pdf/SearchableInstruments/2020RS/PrintFiles/204606-1.pdf","The Alabama League says the rates were supplied by survey, disclaims their accuracy, and requires verification with the locality. | The League list does not itself prove current employee incidence, commuter/worksite allocation, or employer withholding. | A current local ordinance, withholding material, and boundary match are required before a product BUFFER decision."
"al-league-occupational-tax-southside","AL","Southside","incorporated city or town",,"Occupational Tax","percentage occupational tax reported by the Alabama League of Municipalities; employee-wage incidence requires current local verification","municipal occupational-tax candidate; current worksite/nonresident rule requires local verification",,"2%","Current Alabama League survey page retrieved 2026-08-25; rate currency is not guaranteed","Southside local occupational-tax administrator","SUPPORTED_AUTHORITATIVE_ASSOCIATION","PARTIAL","UNDETERMINED until the current local ordinance, employee-wage incidence, withholding rule, rate, and authoritative jurisdiction boundary are verified","League survey page retrieved 2026-08-25","https://almonline.org/VirtualPageTemplate.aspx?PageID=3f384f8c-dd06-4beb-8cd2-1353aaad9414 | https://alison.legislature.state.al.us/files/pdf/SearchableInstruments/2020RS/PrintFiles/204606-1.pdf","The Alabama League says the rates were supplied by survey, disclaims their accuracy, and requires verification with the locality. | The League list does not itself prove current employee incidence, commuter/worksite allocation, or employer withholding. | A current local ordinance, withholding material, and boundary match are required before a product BUFFER decision."
"al-league-occupational-tax-sulligent","AL","Sulligent","incorporated city or town",,"Occupational Tax","percentage occupational tax reported by the Alabama League of Municipalities; employee-wage incidence requires current local verification","municipal occupational-tax candidate; current worksite/nonresident rule requires local verification",,"1%","Current Alabama League survey page retrieved 2026-08-25; rate currency is not guaranteed","Sulligent local occupational-tax administrator","SUPPORTED_AUTHORITATIVE_ASSOCIATION","PARTIAL","UNDETERMINED until the current local ordinance, employee-wage incidence, withholding rule, rate, and authoritative jurisdiction boundary are verified","League survey page retrieved 2026-08-25","https://almonline.org/VirtualPageTemplate.aspx?PageID=3f384f8c-dd06-4beb-8cd2-1353aaad9414 | https://alison.legislature.state.al.us/files/pdf/SearchableInstruments/2020RS/PrintFiles/204606-1.pdf","The Alabama League says the rates were supplied by survey, disclaims their accuracy, and requires verification with the locality. | The League list does not itself prove current employee incidence, commuter/worksite allocation, or employer withholding. | A current local ordinance, withholding material, and boundary match are required before a product BUFFER decision."
"al-tuskegee-occupational-tax","AL","Tuskegee","incorporated city or town",,"Occupational License Tax","employee gross wages","work performed within Tuskegee by residents and nonresidents; wages for work outside the city are excluded","True","3%","Ordinance adopted 2017-12-14","City of Tuskegee","CONFIRMED_PRIMARY","PARTIAL","BUFFER_REVIEW_REQUIRED after authoritative jurisdiction-boundary resolution; otherwise UNDETERMINED","Ordinance minutes tax brochure and FY2024 audit retrieved 2026-08-27","https://www.tuskegeealabama.gov/sites/g/files/vyhlif3946/f/minutes/12-14-17.pdf | https://www.tuskegeealabama.gov/sites/g/files/vyhlif3946/f/uploads/infobrochure_word.pdf | https://www.tuskegeealabama.gov/finance-department/files/fy-2024-tuskegee-2024-audited-financial-statements","The Alabama League survey's 2% entry is stale; current city primary sources support 3%."
"de-wilmington-city-wage-tax","DE","Wilmington","incorporated city",,"City Wage Tax / Earned Income Tax","individual earned income and employee compensation","Residents are taxed on earned income wherever services are performed; nonresidents are taxed on compensation for services in Wilmington, apportioned by workdays.","True","1.25%","FY2026 current rate","City of Wilmington Earned Income Tax Division","CONFIRMED_PRIMARY","COMPLETE","BUFFER_REVIEW_REQUIRED after authoritative jurisdiction-boundary resolution; otherwise UNDETERMINED","FY2026 rate schedule; regulations revised 2023-05-25","https://www.wilmingtonde.gov/home/showpublisheddocument/12928/638784110866500000 | https://www.wilmingtonde.gov/home/showpublisheddocument/462/638206223264700000","Complete municipal class under 22 Del. C. chapter 9; net-profits tax is separate."
"ky-klc-payroll-adairville","KY","Adairville","incorporated city","{""klc_county"":""Logan"",""klc_fy2023_source_page"":1}","Occupational License Tax / Payroll Tax","employee gross earnings or payroll","persons working within the city under Kentucky occupational-license-tax rules; current local boundary and ordinance must be verified before use","True","1.50%","FY2023 KLC city survey; KLC still reported 170 gross-earnings cities on 2025-07-11","Adairville local occupational-tax administrator","SUPPORTED_AUTHORITATIVE_ASSOCIATION","PARTIAL","UNDETERMINED until the current local ordinance, rate, and authoritative jurisdiction boundary are verified","FY2023 surveyed rate; KLC adopter count published 2025-07-11; retrieved 2026-08-25","https://www.klc.org/News/12942/the-occupational-business-license-fee | https://kleague.sharepoint.com/sites/governmentalaffairs/Shared%20Documents/Research/Taxes/Occupational%20Taxes/KY%20City_OccupationalLicenseRates_FY2023.pdf?ga=1 | https://www.klc.org/InfoCentral/Detail/31/occupational-license-tax | https://apps.legislature.ky.gov/law/statutes/statute.aspx?id=23793 | https://apps.legislature.ky.gov/law/statutes/statute.aspx?id=23796","KLC is an authoritative municipal association, but its rate table is a city survey rather than the municipality ordinance. | The table warns that rates may change and uses FY2023 or the most readily available values. | A current local ordinance, withholding material, and boundary match are required before a product BUFFER decision."
"ky-klc-payroll-alexandria","KY","Alexandria","incorporated city","{""klc_county"":""Campbell"",""klc_fy2023_source_page"":1}","Occupational License Tax / Payroll Tax","employee gross earnings or payroll","persons working within the city under Kentucky occupational-license-tax rules; current local boundary and ordinance must be verified before use","True","1.50%","FY2023 KLC city survey; KLC still reported 170 gross-earnings cities on 2025-07-11","Alexandria local occupational-tax administrator","SUPPORTED_AUTHORITATIVE_ASSOCIATION","PARTIAL","UNDETERMINED until the current local ordinance, rate, and authoritative jurisdiction boundary are verified","FY2023 surveyed rate; KLC adopter count published 2025-07-11; retrieved 2026-08-25","https://www.klc.org/News/12942/the-occupational-business-license-fee | https://kleague.sharepoint.com/sites/governmentalaffairs/Shared%20Documents/Research/Taxes/Occupational%20Taxes/KY%20City_OccupationalLicenseRates_FY2023.pdf?ga=1 | https://www.klc.org/InfoCentral/Detail/31/occupational-license-tax | https://apps.legislature.ky.gov/law/statutes/statute.aspx?id=23793 | https://apps.legislature.ky.gov/law/statutes/statute.aspx?id=23796","KLC is an authoritative municipal association, but its rate table is a city survey rather than the municipality ordinance. | The table warns that rates may change and uses FY2023 or the most readily available values. | A current local ordinance, withholding material, and boundary match are required before a product BUFFER decision."
"ky-klc-payroll-ashland","KY","Ashland","incorporated city","{""klc_county"":""Boyd"",""klc_fy2023_source_page"":1}","Occupational License Tax / Payroll Tax","employee gross earnings or payroll","persons working within the city under Kentucky occupational-license-tax rules; current local boundary and ordinance must be verified before use","True","2.00%","FY2023 KLC city survey; KLC still reported 170 gross-earnings cities on 2025-07-11","Ashland local occupational-tax administrator","SUPPORTED_AUTHORITATIVE_ASSOCIATION","PARTIAL","UNDETERMINED until the current local ordinance, rate, and authoritative jurisdiction boundary are verified","FY2023 surveyed rate; KLC adopter count published 2025-07-11; retrieved 2026-08-25","https://www.klc.org/News/12942/the-occupational-business-license-fee | https://kleague.sharepoint.com/sites/governmentalaffairs/Shared%20Documents/Research/Taxes/Occupational%20Taxes/KY%20City_OccupationalLicenseRates_FY2023.pdf?ga=1 | https://www.klc.org/InfoCentral/Detail/31/occupational-license-tax | https://apps.legislature.ky.gov/law/statutes/statute.aspx?id=23793 | https://apps.legislature.ky.gov/law/statutes/statute.aspx?id=23796","KLC is an authoritative municipal association, but its rate table is a city survey rather than the municipality ordinance. | The table warns that rates may change and uses FY2023 or the most readily available values. | A current local ordinance, withholding material, and boundary match are required before a product BUFFER decision."
"ky-klc-payroll-auburn","KY","Auburn","incorporated city","{""klc_county"":""Logan"",""klc_fy2023_source_page"":1}","Occupational License Tax / Payroll Tax","employee gross earnings or payroll","persons working within the city under Kentucky occupational-license-tax rules; current local boundary and ordinance must be verified before use","True","1.50%","FY2023 KLC city survey; KLC still reported 170 gross-earnings cities on 2025-07-11","Auburn local occupational-tax administrator","SUPPORTED_AUTHORITATIVE_ASSOCIATION","PARTIAL","UNDETERMINED until the current local ordinance, rate, and authoritative jurisdiction boundary are verified","FY2023 surveyed rate; KLC adopter count published 2025-07-11; retrieved 2026-08-25","https://www.klc.org/News/12942/the-occupational-business-license-fee | https://kleague.sharepoint.com/sites/governmentalaffairs/Shared%20Documents/Research/Taxes/Occupational%20Taxes/KY%20City_OccupationalLicenseRates_FY2023.pdf?ga=1 | https://www.klc.org/InfoCentral/Detail/31/occupational-license-tax | https://apps.legislature.ky.gov/law/statutes/statute.aspx?id=23793 | https://apps.legislature.ky.gov/law/statutes/statute.aspx?id=23796","KLC is an authoritative municipal association, but its rate table is a city survey rather than the municipality ordinance. | The table warns that rates may change and uses FY2023 or the most readily available values. | A current local ordinance, withholding material, and boundary match are required before a product BUFFER decision."
"ky-klc-payroll-augusta","KY","Augusta","incorporated city","{""klc_county"":""Bracken"",""klc_fy2023_source_page"":1}","Occupational License Tax / Payroll Tax","employee gross earnings or payroll","persons working within the city under Kentucky occupational-license-tax rules; current local boundary and ordinance must be verified before use","True","1.25%","FY2023 KLC city survey; KLC still reported 170 gross-earnings cities on 2025-07-11","Augusta local occupational-tax administrator","SUPPORTED_AUTHORITATIVE_ASSOCIATION","PARTIAL","UNDETERMINED until the current local ordinance, rate, and authoritative jurisdiction boundary are verified","FY2023 surveyed rate; KLC adopter count published 2025-07-11; retrieved 2026-08-25","https://www.klc.org/News/12942/the-occupational-business-license-fee | https://kleague.sharepoint.com/sites/governmentalaffairs/Shared%20Documents/Research/Taxes/Occupational%20Taxes/KY%20City_OccupationalLicenseRates_FY2023.pdf?ga=1 | https://www.klc.org/InfoCentral/Detail/31/occupational-license-tax | https://apps.legislature.ky.gov/law/statutes/statute.aspx?id=23793 | https://apps.legislature.ky.gov/law/statutes/statute.aspx?id=23796","KLC is an authoritative municipal association, but its rate table is a city survey rather than the municipality ordinance. | The table warns that rates may change and uses FY2023 or the most readily available values. | A current local ordinance, withholding material, and boundary match are required before a product BUFFER decision."
